Province,City,Source,SO2,NOX,CO,VOC,PM10,PM2.5,NH3
Shanghai,Shanghai,Power plants,6584.15,29948.36,102973.07,943.41,7158.06,4597.8,800.23
Shanghai,Shanghai,Boilers,45662.21,32809.15,754527.7,917.59,2641.42,1651.32,184.79
Shanghai,Shanghai,Industrial process source,2798.34,837.44,124750.65,148575.24,28992.53,21077.52,425.9
Shanghai,Shanghai,Industrial solvent-use source,0,3.62,0,119133.97,1252.93,883.71,0
Shanghai,Shanghai,Motor vehicles,0,117263.46,378616.38,68365.14,9937.94,9107.95,3537.19
Shanghai,Shanghai,Non-road source,737.61,36804.79,20410.62,4040.28,1584.56,1507.37,0
Shanghai,Shanghai,Dust source,0,0,0,0,69874.62,15425.15,0
Shanghai,Shanghai,Residential source,1409.63,6974.95,7523.15,75904.34,1853.06,1588.21,18309.8
Shanghai,Shanghai,Agricultural source,34.6,68.22,4092.91,337.5,359.58,334.39,31168.69
Jiangsu,Nanjing,Power plants,4466.87,19529.09,44362.49,512.97,2004.74,1547.46,468.92
Jiangsu,Nanjing,Boilers,42505.06,37000.74,998514.04,682.6,4671.7,3039.98,141.2
Jiangsu,Nanjing,Industrial process source,2394.65,7016.77,180162.69,116419.93,20035.26,15210.4,2202.34
Jiangsu,Nanjing,Industrial solvent-use source,0,9.25,0,18495.77,645.57,466.23,0
Jiangsu,Nanjing,Motor vehicles,0,47831.04,184019.13,34992.06,3798.77,3504.93,1740.72
Jiangsu,Nanjing,Non-road source,293.01,17425.83,17175.01,2679.41,804.4,765.31,0
Jiangsu,Nanjing,Dust source,0,0,0,0,55876.77,12516.57,0
Jiangsu,Nanjing,Residential source,1964.77,2216.66,13353.11,48888.35,2154.21,1892.43,4751.07
Jiangsu,Nanjing,Agricultural source,60.61,159.89,7979.24,666.81,832.16,773.89,19751.25
Jiangsu,Wuxi,Power plants,9639.54,25258.37,92330.64,684.51,2824.15,2021.75,566.28
